,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,artist
0,0.34,https://api.spotify.com/v1/audio-analysis/3iOwkEhzWPddMPOE006XWl,0.578,247013,0.813,3iOwkEhzWPddMPOE006XWl,7.81e-05,7,0.233,-5.336,1,0.0464,164.125,4,https://api.spotify.com/v1/tracks/3iOwkEhzWPddMPOE006XWl,audio_features,spotify:track:3iOwkEhzWPddMPOE006XWl,0.456,Ancrée à ton port - album 1,Fanny J
1,0.602,https://api.spotify.com/v1/audio-analysis/2WPMvWhUuIC4pV8njHJ788,0.828,210000,0.627,2WPMvWhUuIC4pV8njHJ788,4.59e-05,4,0.152,-6.968,0,0.0601,107.887,4,https://api.spotify.com/v1/tracks/2WPMvWhUuIC4pV8njHJ788,audio_features,spotify:track:2WPMvWhUuIC4pV8njHJ788,0.716,TATAMI,Roissy
2,0.0222,https://api.spotify.com/v1/audio-analysis/3JSz0qVzIkZyuHUJMjZKJf,0.586,275667,0.987,3JSz0qVzIkZyuHUJMjZKJf,0.024,4,0.192,-4.786,1,0.0558,131.044,4,https://api.spotify.com/v1/tracks/3JSz0qVzIkZyuHUJMjZKJf,audio_features,spotify:track:3JSz0qVzIkZyuHUJMjZKJf,0.767,Syé Bwa,Kassav'
3,0.00246,https://api.spotify.com/v1/audio-analysis/3iJqPCv5lbzagm7tA5WE5k,0.681,263040,0.905,3iJqPCv5lbzagm7tA5WE5k,0.000202,10,0.183,-4.851,0,0.0317,106.004,4,https://api.spotify.com/v1/tracks/3iJqPCv5lbzagm7tA5WE5k,audio_features,spotify:track:3iJqPCv5lbzagm7tA5WE5k,0.737,Difé soupapé,Kassav'
4,0.00647,https://api.spotify.com/v1/audio-analysis/31XrXbLZA7iMyZGUkZjuSG,0.806,319627,0.844,31XrXbLZA7iMyZGUkZjuSG,0.157,0,0.136,-6.744,1,0.052,138.716,4,https://api.spotify.com/v1/tracks/31XrXbLZA7iMyZGUkZjuSG,audio_features,spotify:track:31XrXbLZA7iMyZGUkZjuSG,0.932,Zouk La Sé Sél Médikaman Nou Ni,Kassav'
5,0.11,https://api.spotify.com/v1/audio-analysis/4CTxVKWwbAkHK7gZ2vmpqg,0.817,220147,0.913,4CTxVKWwbAkHK7gZ2vmpqg,0.0,1,0.468,-4.255,1,0.247,128.023,4,https://api.spotify.com/v1/tracks/4CTxVKWwbAkHK7gZ2vmpqg,audio_features,spotify:track:4CTxVKWwbAkHK7gZ2vmpqg,0.935,Bouger Bouger,Magic System
6,0.139,https://api.spotify.com/v1/audio-analysis/1aitzHqQx9bZxeOxkDXUSQ,0.673,308267,0.835,1aitzHqQx9bZxeOxkDXUSQ,0.0,10,0.308,-5.735,1,0.0901,191.828,4,https://api.spotify.com/v1/tracks/1aitzHqQx9bZxeOxkDXUSQ,audio_features,spotify:track:1aitzHqQx9bZxeOxkDXUSQ,0.772,Ayiti (Bang Bang),Carimi
7,0.00838,https://api.spotify.com/v1/audio-analysis/2317lsFtyEYBMTB0AsikQf,0.409,216243,0.664,2317lsFtyEYBMTB0AsikQf,0.0106,9,0.359,-7.15,0,0.039,85.007,4,https://api.spotify.com/v1/tracks/2317lsFtyEYBMTB0AsikQf,audio_features,spotify:track:2317lsFtyEYBMTB0AsikQf,0.29,This Is Love,Cappa
8,0.618,https://api.spotify.com/v1/audio-analysis/7EV70UYb2jxgbgyKmdxzqa,0.582,266133,0.283,7EV70UYb2jxgbgyKmdxzqa,1.84e-05,9,0.088,-13.269,0,0.0375,79.064,4,https://api.spotify.com/v1/tracks/7EV70UYb2jxgbgyKmdxzqa,audio_features,spotify:track:7EV70UYb2jxgbgyKmdxzqa,0.0662,Fall in Love,Barcelona
9,0.132,https://api.spotify.com/v1/audio-analysis/1zVhMuH7agsRe6XkljIY4U,0.439,250707,0.489,1zVhMuH7agsRe6XkljIY4U,0.000643,8,0.114,-6.286,1,0.0368,143.808,4,https://api.spotify.com/v1/tracks/1zVhMuH7agsRe6XkljIY4U,audio_features,spotify:track:1zVhMuH7agsRe6XkljIY4U,0.253,human,Christina Perri
10,0.827,https://api.spotify.com/v1/audio-analysis/1XFYs8doNArJcIdbUEMEDB,0.57,261160,0.278,1XFYs8doNArJcIdbUEMEDB,1.68e-05,1,0.11,-11.411,1,0.0295,146.944,4,https://api.spotify.com/v1/tracks/1XFYs8doNArJcIdbUEMEDB,audio_features,spotify:track:1XFYs8doNArJcIdbUEMEDB,0.271,Let It Go,James Bay
11,0.103,https://api.spotify.com/v1/audio-analysis/6NBSLW2eFDK7epF0I3zHCO,0.516,283320,0.309,6NBSLW2eFDK7epF0I3zHCO,0.346,5,0.0985,-10.866,0,0.0414,140.004,4,https://api.spotify.com/v1/tracks/6NBSLW2eFDK7epF0I3zHCO,audio_features,spotify:track:6NBSLW2eFDK7epF0I3zHCO,0.0735,Afterglow,Phaeleh
12,0.34,https://api.spotify.com/v1/audio-analysis/4HOlfvRvdYt3vxhw3r3r9R,0.592,597403,0.711,4HOlfvRvdYt3vxhw3r3r9R,0.73,9,0.102,-9.974,0,0.043,92.989,4,https://api.spotify.com/v1/tracks/4HOlfvRvdYt3vxhw3r3r9R,audio_features,spotify:track:4HOlfvRvdYt3vxhw3r3r9R,0.192,Monument,Röyksopp
13,0.708,https://api.spotify.com/v1/audio-analysis/3aauaXWRgwCMoykMbI0Jq1,0.717,185520,0.577,3aauaXWRgwCMoykMbI0Jq1,0.00428,8,0.0899,-5.436,1,0.0491,104.927,3,https://api.spotify.com/v1/tracks/3aauaXWRgwCMoykMbI0Jq1,audio_features,spotify:track:3aauaXWRgwCMoykMbI0Jq1,0.235,I Feel Like I'm Drowning,Two Feet
14,0.571,https://api.spotify.com/v1/audio-analysis/4NZrZgrRoR4GwR7flWOXRI,0.765,129600,0.327,4NZrZgrRoR4GwR7flWOXRI,0.0479,6,0.0787,-8.029,1,0.277,74.931,4,https://api.spotify.com/v1/tracks/4NZrZgrRoR4GwR7flWOXRI,audio_features,spotify:track:4NZrZgrRoR4GwR7flWOXRI,0.292,Go Fuck Yourself,Two Feet
15,0.894,https://api.spotify.com/v1/audio-analysis/58wyJLv6yH1La9NIZPl3ne,0.522,187932,0.128,58wyJLv6yH1La9NIZPl3ne,0.026,4,0.0941,-18.717,1,0.0357,109.986,4,https://api.spotify.com/v1/tracks/58wyJLv6yH1La9NIZPl3ne,audio_features,spotify:track:58wyJLv6yH1La9NIZPl3ne,0.124,Can We Kiss Forever?,Kina
16,0.513,https://api.spotify.com/v1/audio-analysis/1VJwtWR6z7SpZRwipI12be,0.689,190920,0.516,1VJwtWR6z7SpZRwipI12be,0.0,8,0.163,-5.857,1,0.0444,124.876,4,https://api.spotify.com/v1/tracks/1VJwtWR6z7SpZRwipI12be,audio_features,spotify:track:1VJwtWR6z7SpZRwipI12be,0.209,Candy,Doja Cat
17,0.0712,https://api.spotify.com/v1/audio-analysis/3PKSSRIXORdrBuCFRZuRWT,0.501,185000,0.664,3PKSSRIXORdrBuCFRZuRWT,6.77e-06,8,0.11,-4.798,1,0.12,139.921,4,https://api.spotify.com/v1/tracks/3PKSSRIXORdrBuCFRZuRWT,audio_features,spotify:track:3PKSSRIXORdrBuCFRZuRWT,0.204,Honey Whiskey,SATICA
18,0.401,https://api.spotify.com/v1/audio-analysis/57nReJa69S1lEJGYHLCKlx,0.684,228966,0.512,57nReJa69S1lEJGYHLCKlx,0.0,11,0.1,-7.232,0,0.0401,127.908,4,https://api.spotify.com/v1/tracks/57nReJa69S1lEJGYHLCKlx,audio_features,spotify:track:57nReJa69S1lEJGYHLCKlx,0.354,Lavender and Velvet,Alina Baraz
